index,x,y,z,Date,cluster,Person
MSS230,2.1139321,7.3999906,9.71103,2005,1,Manmohan Singh
MSS231,2.454553,8.053154,10.558618,2005,1,Manmohan Singh
MSS232,0.5773756,8.714698,8.456762,2005,2,Manmohan Singh
MSS233,4.1489577,10.262783,7.573979,2005,3,Manmohan Singh
MSS234,4.0735407,10.375456,8.125924,2005,3,Manmohan Singh
MSS235,4.093433,10.240177,7.63614,2005,3,Manmohan Singh
MSS236,3.4078984,10.598247,8.482532,2005,3,Manmohan Singh
MSS237,3.306175,10.491221,8.734456,2005,3,Manmohan Singh
MSS238,2.4486213,9.772593,10.108759,2005,0,Manmohan Singh
MSS239,2.4293332,7.432597,9.9965515,2005,1,Manmohan Singh
MSS240,2.0667558,7.3248796,9.289959,2005,1,Manmohan Singh
MSS241,3.0613954,9.504617,7.518239,2005,4,Manmohan Singh
MSS242,1.1549468,9.349709,9.227135,2005,2,Manmohan Singh
MSS243,3.3227854,9.489928,7.690774,2005,3,Manmohan Singh
MSS244,3.6328034,10.051953,7.4472756,2005,3,Manmohan Singh
MSS245,2.2072182,10.14057,9.199103,2005,0,Manmohan Singh
MSS246,2.6486278,10.096358,9.383405,2005,0,Manmohan Singh
MSS248,2.2387397,7.2641177,9.935367,2005,1,Manmohan Singh
MSS249,1.4512086,7.806547,10.009938,2005,1,Manmohan Singh
MSS250,2.7956135,6.643204,9.050687,2005,1,Manmohan Singh
MSS251,1.9406679,8.006643,10.051191,2006,1,Manmohan Singh
MSS252,2.6024978,7.63185,8.173175,2006,1,Manmohan Singh
MSS253,2.3711433,10.11477,9.29707,2006,0,Manmohan Singh
MSS254,0.9251489,8.487126,8.933013,2006,2,Manmohan Singh
MSS255,2.5118124,10.010971,9.399339,2006,0,Manmohan Singh
MSS256,1.7292486,10.222846,10.087108,2006,0,Manmohan Singh
MSS257,1.9131647,7.2804537,9.853022,2006,1,Manmohan Singh
MSS258,2.1359594,8.501091,10.273103,2006,2,Manmohan Singh
MSS259,1.2848277,9.852049,9.752192,2006,0,Manmohan Singh
MSS260,0.9396141,8.711573,8.182202,2006,2,Manmohan Singh
MSS261,2.4973059,9.298558,8.276918,2006,4,Manmohan Singh
MSS262,1.3244317,8.338488,8.4805355,2006,2,Manmohan Singh
MSS263,1.7477558,6.827431,9.968637,2006,1,Manmohan Singh
MSS264,2.0338929,7.2552958,9.776011,2006,1,Manmohan Singh
MSS265,2.2944949,8.943343,10.466385,2006,2,Manmohan Singh
MSS266,3.9111032,10.522291,8.270818,2006,3,Manmohan Singh
MSS267,0.88339317,8.838527,8.933066,2006,2,Manmohan Singh
MSS268,2.060426,7.503127,9.549864,2006,1,Manmohan Singh
MSS269,1.9153578,7.2086663,9.559083,2006,1,Manmohan Singh
MSS270,2.3880234,10.438859,8.848267,2006,0,Manmohan Singh
MSS271,2.422909,10.412336,8.906993,2006,0,Manmohan Singh
MSS272,1.9574974,10.27614,9.221263,2006,0,Manmohan Singh
MSS273,2.1735358,9.148024,10.622289,2006,2,Manmohan Singh
MSS274,2.5205686,7.723188,10.390675,2006,1,Manmohan Singh
MSS275,4.1310186,9.670657,7.434353,2006,3,Manmohan Singh
MSS276,3.7985663,10.349772,7.711256,2006,3,Manmohan Singh
MSS277,2.1592495,7.181912,10.190565,2006,1,Manmohan Singh
MSS278,1.229705,6.7118616,9.647464,2006,1,Manmohan Singh
MSS279,1.7383794,10.459211,8.606818,2006,0,Manmohan Singh
MSS280,4.078593,10.443119,6.998982,2006,3,Manmohan Singh
MSS281,4.0576158,10.451246,6.9947133,2006,3,Manmohan Singh
MSS282,2.1345725,10.19578,8.874053,2006,0,Manmohan Singh
MSS283,3.0774112,9.453358,7.8795877,2006,4,Manmohan Singh
MSS284,3.8770373,10.516946,7.1021576,2006,3,Manmohan Singh
MSS285,3.5547493,8.208491,7.969809,2006,4,Manmohan Singh
MSS286,3.2756894,10.336438,8.0414295,2006,3,Manmohan Singh
MSS287,1.9948964,9.828829,9.858611,2006,0,Manmohan Singh
MSS288,4.03935,10.466629,6.958514,2006,3,Manmohan Singh
MSS289,1.6299499,6.798105,10.217095,2006,1,Manmohan Singh
MSS290,4.0403814,10.440169,7.030324,2006,3,Manmohan Singh
MSS291,4.0025077,10.249929,7.777724,2006,3,Manmohan Singh
MSS292,1.8753628,7.7579937,8.580263,2006,1,Manmohan Singh
MSS293,2.2677414,9.52344,8.293835,2006,0,Manmohan Singh
MSS294,2.194622,9.36773,10.603361,2006,0,Manmohan Singh
MSS295,2.064546,8.467804,6.914599,2006,2,Manmohan Singh
MSS296,2.5860193,10.283831,9.29912,2006,0,Manmohan Singh
MSS297,4.094723,9.113077,8.428048,2006,3,Manmohan Singh
MSS298,3.8107164,9.955174,9.781262,2006,3,Manmohan Singh
MSS299,2.424705,10.102788,9.362301,2006,0,Manmohan Singh
MSS300,2.964032,7.0501328,9.578061,2006,1,Manmohan Singh
MSS302,2.1129425,7.348185,9.752391,2006,1,Manmohan Singh
MSS303,2.436515,10.435773,8.888706,2006,0,Manmohan Singh
MSS304,0.98827994,7.6097054,10.38412,2006,1,Manmohan Singh
MSS305,3.5096617,8.909432,7.4782233,2006,4,Manmohan Singh
MSS306,2.1116617,7.207769,9.711219,2006,1,Manmohan Singh
MSS307,1.0959456,7.0760555,9.680963,2006,1,Manmohan Singh
MSS308,2.0392275,7.5096726,10.24543,2006,1,Manmohan Singh
MSS309,2.6220481,7.443721,9.677492,2006,1,Manmohan Singh
MSS310,2.7290213,7.8331943,10.2091675,2006,1,Manmohan Singh
MSS311,3.1872942,10.487004,8.185985,2006,3,Manmohan Singh
MSS312,3.690707,10.620941,7.7072797,2006,3,Manmohan Singh
MSS313,3.770576,10.597721,7.8124323,2006,3,Manmohan Singh
MSS314,3.7421715,10.434041,8.08916,2006,3,Manmohan Singh
MSS315,3.7771134,10.243428,8.249354,2006,3,Manmohan Singh
MSS316,3.716011,10.404475,8.229463,2006,3,Manmohan Singh
MSS317,2.8935504,9.020291,10.340939,2006,4,Manmohan Singh
MSS318,2.6734562,10.160984,9.846497,2006,0,Manmohan Singh
MSS319,3.1121957,10.436818,8.692713,2006,3,Manmohan Singh
MSS320,3.8144047,10.492389,7.7557316,2006,3,Manmohan Singh
MSS321,3.2621608,10.324577,8.942413,2006,3,Manmohan Singh
MSS322,1.5624751,8.361645,10.341092,2006,2,Manmohan Singh
MSS323,1.2235451,9.066673,10.250175,2006,2,Manmohan Singh
MSS324,2.3665645,8.872808,7.05452,2006,4,Manmohan Singh
MSS325,2.4889202,10.325165,9.904671,2006,0,Manmohan Singh
MSS326,2.3091698,7.1186285,10.174733,2006,1,Manmohan Singh
MSS327,1.4847012,9.713699,9.105047,2006,0,Manmohan Singh
